year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,1,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",399,70,7.84,2.06,42.67,0,17.43,19,2,6608,391,335,4663,0,1219
2019,1,OO,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",234,46,3.8,5.95,17.62,0,18.64,18,0,5702,634,1568,1378,0,2122
2019,1,UA,United Air Lines Inc.,BOS,"Boston, MA: Logan International",951,225,48.57,10.02,103.57,0,62.85,36,1,22281,3622,977,10961,0,6721
2019,1,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",739,137,48.35,8.54,42.18,1.44,36.5,69,5,7890,2350,588,2843,106,2003
2019,1,YV,Mesa Airlines Inc.,BOS,"Boston, MA: Logan International",12,2,1,0,1,0,0,2,0,49,34,0,15,0,0
2019,1,YX,Republic Airline,BOS,"Boston, MA: Logan International",531,136,27.93,4.58,63.26,0,40.23,32,1,9662,2067,522,3748,0,3325
2019,2,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",428,80,8.74,3.3,31.68,0,36.28,21,0,5750,953,177,1505,0,3115
2019,2,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",2044,481,117.27,19.94,185.28,1.08,157.43,72,0,28489,7674,1412,8958,25,10420
2019,2,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",184,35,11.99,1.31,14.54,0,7.16,2,0,2790,1036,140,1067,0,547
2019,2,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",3910,1127,277.31,11.31,274.06,2.84,561.47,75,3,100101,26304,2172,18408,102,53115
2019,2,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1327,325,72.94,10.62,126.55,0.86,114.03,10,0,26662,7327,3728,6347,113,9147
2019,2,EV,ExpressJet Airlines Inc.,BOS,"Boston, MA: Logan International",68,21,10.8,0,4.76,0,5.43,4,0,1521,917,0,352,0,252
2019,2,MQ,Envoy Air,BOS,"Boston, MA: Logan International",56,9,2.97,0,2.03,0,4,7,0,573,128,0,124,0,321
2019,2,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",351,69,15.4,0.56,33.34,0,19.7,3,0,6105,1644,30,2183,0,2248
2019,2,OO,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",227,50,3.54,5.25,20.59,0,20.62,7,0,4482,449,1089,938,0,2006
2019,2,UA,United Air Lines Inc.,BOS,"Boston, MA: Logan International",888,184,33.63,8.2,85.94,0,56.23,6,0,13354,3246,778,4955,0,4375
2019,2,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",624,142,65.61,3.16,26.74,0,46.49,33,0,10438,5322,292,1667,0,3157
2019,2,YV,Mesa Airlines Inc.,BOS,"Boston, MA: Logan International",6,2,1,0,1,0,0,1,0,143,125,0,18,0,0
2019,2,YX,Republic Airline,BOS,"Boston, MA: Logan International",396,81,16.27,4.36,36.61,0,23.76,19,0,5780,1236,477,2058,0,2009
2019,3,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",695,109,24.11,2.79,38.82,0,43.29,20,0,10346,2297,263,3856,0,3930
2019,3,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",2269,409,118.69,10.47,133.55,1.07,145.21,85,4,23439,6884,1021,5771,23,9740
2019,3,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",208,52,11.55,0.1,30.37,0,9.98,6,1,3465,769,2,2445,0,249
2019,3,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",4709,1066,287.84,3.87,268.81,0.21,505.28,135,15,101415,24759,227,24233,8,52188
2019,3,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1508,249,63.71,16.14,86.34,0,82.8,0,7,27155,3874,6130,8835,0,8316
2019,3,EV,ExpressJet Airlines Inc.,BOS,"Boston, MA: Logan International",19,7,3.19,0,0.99,0,2.81,3,0,429,186,0,52,0,191
2019,3,MQ,Envoy Air,BOS,"Boston, MA: Logan International",62,6,0.14,0.82,3.04,0,2,2,0,255,5,35,131,0,84
